,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
367,2023-03-25,Mushroom,87,105,124,1kg
368,2023-03-25,Mustard Leaves,12,14,17,1kg
369,2023-03-25,Ladies Finger,40,48,57,1kg
370,2023-03-25,Pumpkin,21,25,30,1kg
371,2023-03-25,Radish,23,27,33,1kg
372,2023-03-25,Ridge Gourd,30,36,43,1kg
373,2023-03-25,Shallot (Pearl Onion),36,43,51,1kg
374,2023-03-25,Snake Gourd,26,31,37,1kg
375,2023-03-25,Sorrel Leaves,14,17,20,1kg
376,2023-03-25,Spinach,12,14,17,1kg
377,2023-03-25,Sweet Potato,37,45,52,1kg
378,2023-03-24,Onion Big,20,24,28,1kg
379,2023-03-24,Onion Small,53,64,75,1kg
380,2023-03-24,Tomato,23,27,33,1kg
381,2023-03-24,Green Chilli,42,50,59,1kg
382,2023-03-24,Beetroot,24,29,34,1kg
383,2023-03-24,Potato,33,40,47,1kg
384,2023-03-24,Raw Banana (Plantain),10,12,14,1kg
385,2023-03-24,Amaranth Leaves,12,14,17,1kg
386,2023-03-24,Amla,60,72,85,1kg
387,2023-03-24,Ash gourd,24,29,34,1kg
388,2023-03-24,Baby Corn,64,77,91,1kg
389,2023-03-24,Banana Flower,18,22,26,1kg
390,2023-03-24,Capsicum,43,52,61,1kg
391,2023-03-24,Bitter Gourd,30,36,43,1kg
392,2023-03-24,Bottle Gourd,24,29,34,1kg
393,2023-03-24,Butter Beans,49,59,70,1kg
394,2023-03-24,Broad Beans,42,50,59,1kg
395,2023-03-24,Cabbage,14,17,20,1kg
396,2023-03-24,Carrot,30,36,43,1kg
397,2023-03-24,Cauliflower,27,32,38,1kg
398,2023-03-24,Cluster beans,44,53,63,1kg
399,2023-03-24,Coconut,30,36,43,1kg
400,2023-03-24,Colocasia Leaves,12,14,17,1kg
401,2023-03-24,Colocasia,27,32,38,1kg
402,2023-03-24,Coriander Leaves,6,7,8,1kg
403,2023-03-24,Corn,25,30,35,1kg
404,2023-03-24,Cucumber,28,34,40,1kg
405,2023-03-24,Curry Leaves,27,32,38,1kg
406,2023-03-24,Dill Leaves,13,16,18,1kg
407,2023-03-24,Drumsticks,100,121,142,1kg
408,2023-03-24,Brinjal,24,29,34,1kg
409,2023-03-24,Brinjal (Big),22,26,31,1kg
410,2023-03-24,Elephant Yam,24,29,34,1kg
411,2023-03-24,Fenugreek Leaves,10,12,14,1kg
412,2023-03-24,French Beans,40,48,57,1kg
413,2023-03-24,Garlic,60,72,85,1kg
414,2023-03-24,Ginger,47,57,67,1kg
415,2023-03-24,Onion Green,38,46,54,1kg
416,2023-03-24,Green Peas,76,92,108,1kg
417,2023-03-24,Ivy Gourd,24,29,34,1kg
418,2023-03-24,Lemon (Lime),50,61,71,1kg
419,2023-03-24,Mango Raw,101,122,144,1kg
420,2023-03-24,Mint Leaves,3,3,4,1kg
421,2023-03-24,Mushroom,87,105,124,1kg
422,2023-03-24,Mustard Leaves,12,14,17,1kg
423,2023-03-24,Ladies Finger,40,48,57,1kg
424,2023-03-24,Pumpkin,21,25,30,1kg
425,2023-03-24,Radish,23,27,33,1kg
426,2023-03-24,Ridge Gourd,30,36,43,1kg
427,2023-03-24,Shallot (Pearl Onion),36,43,51,1kg
428,2023-03-24,Snake Gourd,26,31,37,1kg
429,2023-03-24,Sorrel Leaves,14,17,20,1kg
430,2023-03-24,Spinach,12,14,17,1kg
431,2023-03-24,Sweet Potato,37,45,52,1kg
432,2023-03-23,Onion Big,18,22,26,1kg
433,2023-03-23,Onion Small,55,66,78,1kg
434,2023-03-23,Tomato,26,31,37,1kg
435,2023-03-23,Green Chilli,38,46,54,1kg
436,2023-03-23,Beetroot,29,35,41,1kg
437,2023-03-23,Potato,27,32,38,1kg
438,2023-03-23,Raw Banana (Plantain),11,13,15,1kg
439,2023-03-23,Amaranth Leaves,13,16,18,1kg
440,2023-03-23,Amla,70,85,100,1kg
441,2023-03-23,Ash gourd,25,30,35,1kg
442,2023-03-23,Baby Corn,56,67,79,1kg
443,2023-03-23,Banana Flower,19,23,27,1kg
444,2023-03-23,Capsicum,45,54,64,1kg
445,2023-03-23,Bitter Gourd,31,37,44,1kg
446,2023-03-23,Bottle Gourd,29,35,41,1kg
447,2023-03-23,Butter Beans,44,53,63,1kg
448,2023-03-23,Broad Beans,36,43,51,1kg
449,2023-03-23,Cabbage,11,13,15,1kg
450,2023-03-23,Carrot,31,37,44,1kg
451,2023-03-23,Cauliflower,24,29,34,1kg
452,2023-03-23,Cluster beans,43,52,61,1kg
453,2023-03-23,Coconut,25,30,35,1kg
454,2023-03-23,Colocasia Leaves,12,14,17,1kg
455,2023-03-23,Colocasia,24,29,34,1kg
456,2023-03-23,Coriander Leaves,5,6,7,1kg
457,2023-03-23,Corn,24,29,34,1kg
458,2023-03-23,Cucumber,26,31,37,1kg
459,2023-03-23,Curry Leaves,29,35,41,1kg
460,2023-03-23,Dill Leaves,14,17,20,1kg
461,2023-03-23,Drumsticks,90,109,128,1kg
462,2023-03-23,Brinjal,23,27,33,1kg
463,2023-03-23,Brinjal (Big),22,26,31,1kg
464,2023-03-23,Elephant Yam,25,30,35,1kg
465,2023-03-23,Fenugreek Leaves,9,10,13,1kg
466,2023-03-23,French Beans,37,45,52,1kg
467,2023-03-23,Garlic,50,61,71,1kg
468,2023-03-23,Ginger,44,53,63,1kg
469,2023-03-23,Onion Green,40,48,57,1kg
470,2023-03-23,Green Peas,78,94,111,1kg
471,2023-03-23,Ivy Gourd,22,26,31,1kg
472,2023-03-23,Lemon (Lime),54,65,77,1kg
473,2023-03-23,Mango Raw,82,99,116,1kg
474,2023-03-23,Mint Leaves,5,6,7,1kg
475,2023-03-23,Mushroom,91,110,129,1kg
476,2023-03-23,Mustard Leaves,14,17,20,1kg
477,2023-03-23,Ladies Finger,40,48,57,1kg
478,2023-03-23,Pumpkin,22,26,31,1kg
479,2023-03-23,Radish,21,25,30,1kg
480,2023-03-23,Ridge Gourd,29,35,41,1kg
481,2023-03-23,Shallot (Pearl Onion),36,43,51,1kg
